Property Name,County,DesDate,National Register Number,Longitude,Latitude,Georeference,Type
Methodist--Protestant Church at Fisher's Landing,Jefferson,6/28/96,96NR00961,-76.00857782,44.27625112,POINT (-76.0085778178 44.2762511153),church
Larchmont Avenue Church,Westchester,4/22/21,20NR00135,-73.75467589,40.929885,POINT (-73.7546758891 40.9298849976),church
St. Nicholas' Ukranian Catholic Church,Albany,4/15/04,03NR05095,-73.70300361,42.73442006,POINT (-73.7030036109 42.7344200638),church
Rectory of St. George's Episcopal Church,Nassau,5/3/88,90NR01711,-73.62107668,40.70505725,POINT (-73.621076683 40.7050572458),church
Emmanuel Presbyterian Church (Trinity Emmanuel Presbyterian Church),Monroe,3/29/01,00NR01715,-77.62928402,43.13840882,POINT (-77.6292840249 43.1384088224),church
First United Methodist Church of Walworth,Wayne,3/27/17,16NR00065,-77.27307748,43.13754285,POINT (-77.27307748 43.1375428518),church
Church of the Good Shepherd,Onondaga,5/8/97,97NR01166,-76.16138846,42.94507366,POINT (-76.1613884584 42.9450736646),church
Old St. Peter's Church and Rectory,Dutchess,,00NR01606,-73.93671208,41.70927605,POINT (-73.9367120829 41.7092760512),church
Holy Rosary Church Complex,Monroe,9/4/12,12NR06349,-77.64129731,43.17985182,POINT (-77.6412973084 43.1798518155),church
Trinity Episcopal Church,Erie,2/28/08,07NR05801,-78.87472813,42.89474147,POINT (-78.8747281346 42.8947414711),church
New England Congregational Church and Rectory,Kings,9/15/83,90NR01308,-73.96188112,40.70870488,POINT (-73.9618811201 40.7087048848),church
St. Mary's Roman Catholic Church Complex,Schenectady,6/12/17,16NR00062,-73.92824308,42.81127632,POINT (-73.9282430826 42.8112763201),church
Helderberg Reformed Dutch Church (demolished),Albany,11/10/82,90NR01688,-73.96343173,42.7030389,POINT (-73.963431729 42.7030389026),church
Saint Bridget's Roman Catholic Church Complex,Ontario,8/28/92,92NR00382,-77.4329527,42.90104273,POINT (-77.4329527037 42.9010427279),church
Woodrow Methodist Church,Richmond,10/29/82,90NR01041,-74.2010676,40.54333074,POINT (-74.2010676032 40.5433307429),church
Methodist Episcopal Church,Jefferson,6/28/96,96NR00947,-75.97629038,44.26197544,POINT (-75.9762903803 44.261975444),church
Reformed Dutch Church of Claverack,Columbia,6/21/01,01NR01793,-73.73197922,42.2283038,POINT (-73.7319792213 42.2283038),church
Peru Community Church,Clinton,2/2/01,00NR01609,-73.52813973,44.57849616,POINT (-73.5281397307 44.578496163),church
Duanesburg-Florida Baptist Church,Schenectady,10/11/84,90NR02621,-74.21598911,42.80887085,POINT (-74.2159891114 42.8088708525),church
"Reformed Church, The",Herkimer,3/16/72,90NR00593,-74.98991431,43.02897945,POINT (-74.9899143143 43.0289794535),church
Delaware Avenue Baptist Church,Erie,,17NR00038,-78.87003761,42.91015795,POINT (-78.8700376128 42.9101579516),church
St. James Church,New York,7/24/72,90NR00795,-73.99851466,40.71223636,POINT (-73.9985146644 40.7122363588),church
Jewett Presbyterian Church Complex,Greene,12/28/01,01NR01850,-74.30347984,42.26970287,POINT (-74.3034798395 42.2697028685),church
