Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Lancaster District School No. 6,Erie,11/18/2008,08NR05898,-78.6401865605,42.8814348216,POINT (-78.6401865605 42.8814348216)
School No. 7,Chautauqua,03/05/1992,91NR00271,-79.3167644271,42.4946849696,POINT (-79.3167644271 42.4946849696)
Brockport Rural High School [A.D. Oliver School],Monroe,11/10/2011,10NR06193,-77.9472630504,43.2070467693,POINT (-77.9472630504 43.2070467693)
District School No. 20,Jefferson,10/18/1989,90NR01137,-76.1086289905,43.9263762735,POINT (-76.1086289905 43.9263762735)
Southwood Two-Teacher School,Onondaga,04/06/2000,00NR01587,-76.109293928,42.995295845,POINT (-76.109293928 42.995295845)
East Irvington School,Westchester,10/06/1983,90NR02437,-73.8476864906,41.046545023,POINT (-73.8476864906 41.046545023)
Mycenae Schoolhouse,Onondaga,08/11/1983,90NR02089,-75.9330374687,43.0468789945,POINT (-75.9330374687 43.0468789945)
Huguenot Schoolhouse (District School No. 3),Orange,08/21/1997,97NR01237,-74.6321537235,41.4197137072,POINT (-74.6321537235 41.4197137072)
Boys' High School,Kings,02/25/1982,90NR01264,-73.9478766786,40.6846628806,POINT (-73.9478766786 40.6846628806)
Camillus Union Free School,Onondaga,05/28/1991,91NR03345,-76.3058031237,43.0404458658,POINT (-76.3058031237 43.0404458658)
Thomas Indian School,Erie,01/25/1973,90NR01204,-78.9961842435,42.5395257503,POINT (-78.9961842435 42.5395257503)
Garfield School,Rensselaer,06/09/1988,90NR00959,-73.5977192881,42.7305076701,POINT (-73.5977192881 42.7305076701)
Glen Haven District No. 4 School and Public Library,Cortland,05/23/1997,97NR01181,-76.2673318572,42.7608473498,POINT (-76.2673318572 42.7608473498)
Hebron District School No. 16,Washington,04/16/2012,11NR06280,-73.2864376684,43.2624076439,POINT (-73.2864376684 43.2624076439)
Kibler High School,Erie,01/15/1999,99NR01438,-78.8806457003,43.0116838659,POINT (-78.8806457003 43.0116838659)
District School No. 14,Ulster,02/21/1997,97NR01152,-74.4793243054,42.1349320882,POINT (-74.4793243054 42.1349320882)
Public School 9,New York,08/03/1987,90NR03038,-73.9792207233,40.7863398786,POINT (-73.9792207233 40.7863398786)
Union Free School,Dutchess,02/27/1987,90NR00562,-73.945032032,41.5890238034,POINT (-73.945032032 41.5890238034)
St. Mary's School,Nassau,11/14/1978,91NR00222,-73.6405969744,40.7203604994,POINT (-73.6405969744 40.7203604994)
Bald Hill Schoolhouse,Suffolk,07/21/1988,90NR01783,-73.0427629084,40.8354100934,POINT (-73.0427629084 40.8354100934)
St. Anthony Convent & School,Onondaga,01/31/2019,18NR00067,-76.1511861498,43.0749795269,POINT (-76.1511861498 43.0749795269)
Java School No. 1,Wyoming,06/21/2001,00NR01707,-78.4362483567,42.6739919884,POINT (-78.4362483567 42.6739919884)
Morristown Schoolhouse,St. Lawrence,09/02/1982,90NR02581,-75.6461051698,44.5850208038,POINT (-75.6461051698 44.5850208038)
Grenadier Island Schoolhouse,Jefferson,11/21/2012,12NR06378,-76.3542750702,44.0481006717,POINT (-76.3542750702 44.0481006717)
Central Technical High School,Onondaga,04/09/1981,90NR02118,-76.1502588773,43.0423108448,POINT (-76.1502588773 43.0423108448)
Wethersfield Stone Schoolhouse,Oneida,09/07/2005,05NR05437,-75.2201780158,43.258264814,POINT (-75.2201780158 43.258264814)
Philip Livingston Junior High School (former),Albany,08/18/2014,14NR06562,-73.757977373,42.6685483077,POINT (-73.757977373 42.6685483077)
Hayt's Corners Chapel and Schoolhouse,Tompkins,12/22/2005,05NR05463,-76.5422084918,42.4678923847,POINT (-76.5422084918 42.4678923847)
Old School Baptist Church of Halcottsville,Delaware,07/08/1999,99NR01474,-74.6009933923,42.206857953,POINT (-74.6009933923 42.206857953)
Snyderville Schoolhouse,Columbia,07/28/2004,03NR05161,-73.7535820798,42.0820928641,POINT (-73.7535820798 42.0820928641)
George Washington School,Chemung,01/11/2017,16NR00080,-76.8212061945,42.0976336772,POINT (-76.8212061945 42.0976336772)
School No. 1,Rensselaer,12/07/2018,18NR00069,-73.6823889253,42.7468571823,POINT (-73.6823889253 42.7468571823)
Guy Park Avenue School (Walter Elwood Museum),Montgomery,06/02/1995,95NR00809,-74.2087097806,42.9498436981,POINT (-74.2087097806 42.9498436981)
Public School 71K,Kings,11/04/1982,90NR01331,-73.956547303,40.7017351249,POINT (-73.956547303 40.7017351249)
School House #10,Cattaraugus,10/01/2010,10NR06128,-78.4347397287,42.0750285063,POINT (-78.4347397287 42.0750285063)
Stone Arabia School (Number 6),Onondaga,04/12/2007,06NR05672,-76.0746646949,43.1777482137,POINT (-76.0746646949 43.1777482137)
